"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Prisma", "XML", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"/Users/spursh/Documents/code/equestria/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/spursh/Documents/code/equestria/next.config.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/spursh/Documents/code/equestria/package-lock.json", "JSON", 0, 0, 3323, 0, 0, 0, 0, 0, 0, 0, 1, 3324
"/Users/spursh/Documents/code/equestria/package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/spursh/Documents/code/equestria/postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/spursh/Documents/code/equestria/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 7, 34
"/Users/spursh/Documents/code/equestria/public/file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/equestria/public/globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/equestria/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/equestria/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/equestria/public/window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/equestria/tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 3978, 27, 3527, 826, 46, 5, 2881, 4, 129, 1974, 1403, 14800
